actual,predicted,residuals,abs_error,percentage_error
0.03275889,0.10522547,-0.07246658,0.07246658,221.21187
0.45202675,0.3992437,0.052783042,0.052783042,11.676973
0.28131202,0.2719091,0.009402931,0.009402931,3.3425272
0.5560352,0.48759556,0.06843966,0.06843966,12.308512
0.3556796,0.33371112,0.021968484,0.021968484,6.1764812
0.3062322,0.29503787,0.011194348,0.011194348,3.6555097
0.34561154,0.32564285,0.019968688,0.019968688,5.777784
0.5950546,0.5244137,0.07064092,0.07064092,11.871334
0.05385891,0.11360575,-0.059746843,0.059746843,110.93212
0.16350457,0.18009028,-0.016585708,0.016585708,10.143879
0.39055553,0.3555429,0.035012633,0.035012633,8.9648285
0.4627164,0.40749866,0.055217743,0.055217743,11.933388
0.2501876,0.23225112,0.017936483,0.017936483,7.1692133
0.041467935,0.1084781,-0.067010164,0.067010164,161.5951
0.46021342,0.40554494,0.054668486,0.054668486,11.878942
0.49339637,0.43335345,0.060042918,0.060042918,12.169307
0.16224673,0.17915118,-0.016904444,0.016904444,10.418972
0.12442934,0.15308377,-0.028654434,0.028654434,23.028679
0.3060768,0.29498744,0.011089355,0.011089355,3.6230628
0.28490633,0.2771908,0.0077155232,0.0077155232,2.7080913
0.35819557,0.33522815,0.022967428,0.022967428,6.41198
0.48619616,0.42709798,0.059098184,0.059098184,12.155214
0.3646478,0.33913296,0.025514841,0.025514841,6.997119
0.077285536,0.12481773,-0.047532193,0.047532193,61.502052
0.19021788,0.1977987,-0.0075808167,0.0075808167,3.985333
0.13226633,0.15822099,-0.025954664,0.025954664,19.62303
0.3897083,0.35500443,0.03470388,0.03470388,8.905091
0.36401147,0.33874872,0.025262743,0.025262743,6.940095
0.024804711,0.10248946,-0.077684745,0.077684745,313.18533
0.10193635,0.13877214,-0.036835797,0.036835797,36.136074
0.03021,0.104364485,-0.07415448,0.07415448,245.4633
0.36839336,0.34138843,0.027004927,0.027004927,7.33046
0.48908737,0.42962515,0.05946222,0.05946222,12.157791
0.25088003,0.2334333,0.017446727,0.017446727,6.954211
0.45964384,0.40508568,0.054558158,0.054558158,11.869659
0.38362566,0.3510087,0.032616943,0.032616943,8.502284
0.07622859,0.124304324,-0.048075736,0.048075736,63.06785
0.15028608,0.1708282,-0.020542115,0.020542115,13.668673
0.28503767,0.27739984,0.0076378286,0.0076378286,2.6795857
0.54166585,0.47508276,0.0665831,0.0665831,12.292282
0.0990877,0.13705333,-0.037965626,0.037965626,38.31517
0.007849921,0.09736824,-0.08951832,0.08951832,1140.3708
0.07755687,0.12498674,-0.047429867,0.047429867,61.154945
0.23742838,0.22429551,0.01313287,0.01313287,5.531297
0.2573036,0.24417888,0.013124719,0.013124719,5.100869
0.2437457,0.22696546,0.016780242,0.016780242,6.884323
0.24465895,0.2273241,0.017334849,0.017334849,7.0853114
0.30778477,0.29585093,0.011933833,0.011933833,3.8773305
0.053368017,0.11343354,-0.060065523,0.060065523,112.54964
0.1226669,0.15188792,-0.02922102,0.02922102,23.821438
0.38633344,0.35277373,0.03355971,0.03355971,8.686722
0.17271616,0.18625271,-0.013536558,0.013536558,7.837458
0.18879548,0.1968596,-0.008064121,0.008064121,4.271353
0.10834165,0.14271358,-0.034371927,0.034371927,31.725496
0.39480868,0.35838905,0.03641963,0.03641963,9.2246275
0.40464142,0.36498976,0.039651662,0.039651662,9.79921
0.5136039,0.45147103,0.062132895,0.062132895,12.097434
0.52674097,0.46284282,0.063898146,0.063898146,12.130848
0.1470814,0.16851148,-0.021430075,0.021430075,14.570212
0.22633685,0.21903536,0.0073014945,0.0073014945,3.2259412
0.51725084,0.454833,0.062417835,0.062417835,12.067227
0.3757797,0.34597588,0.029803813,0.029803813,7.931193
0.5836471,0.5132067,0.07044035,0.07044035,12.068998
0.32061455,0.30505854,0.015556008,0.015556008,4.8519344
0.06322963,0.11788517,-0.054655544,0.054655544,86.43976
0.098228365,0.13646021,-0.03823185,0.03823185,38.92139
0.062959,0.11771938,-0.05476038,0.05476038,86.97784
0.28246507,0.27359557,0.008869499,0.008869499,3.1400337
0.41630808,0.3731102,0.04319787,0.04319787,10.376419
0.12399042,0.15282226,-0.02883184,0.02883184,23.25328
0.59515923,0.5244921,0.07066715,0.07066715,11.873654
0.41596276,0.37283823,0.043124527,0.043124527,10.367401
0.002052774,0.095831215,-0.09377844,0.09377844,4568.354
0.44472787,0.39366552,0.051062346,0.051062346,11.481706
0.33023512,0.31267878,0.01755634,0.01755634,5.3163147
0.19674185,0.20198724,-0.0052453876,0.0052453876,2.6661267
0.49110818,0.4314068,0.059701383,0.059701383,12.156463
0.25832808,0.24533631,0.012991771,0.012991771,5.0291753
0.13100353,0.15736638,-0.026362851,0.026362851,20.12377
0.04066845,0.1081337,-0.06746525,0.06746525,165.89084
0.24445407,0.2272444,0.017209664,0.017209664,7.0400395
